Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
455,9.194,1.336,16.897
456,9.217,2.334,24.574
457,9.231,1.34,16.967
458,9.246,1.56,18.678
459,9.268,2.142,23.193
460,9.292,2.44,25.535
461,9.31,1.851,21.016
462,9.328,1.712,19.963
463,9.344,1.634,19.387
464,9.364,1.985,22.149
465,9.386,2.225,24.056
466,9.406,2.002,22.353
467,9.428,2.248,24.317
468,9.454,2.556,26.79
469,9.473,1.851,21.279
470,9.493,2.039,22.794
471,9.507,1.396,17.736
472,9.522,1.535,18.852
473,9.538,1.59,19.308
474,9.562,2.405,25.824
475,9.588,2.597,27.407
476,9.603,1.465,18.399
477,9.617,1.418,18.043
478,9.638,2.128,23.758
479,9.662,2.388,25.89
480,9.678,1.534,19.052
481,9.697,1.926,22.24
482,9.716,1.894,22.011
483,9.737,2.12,23.881
484,9.754,1.691,20.431
485,9.773,1.872,21.931
486,9.793,2.027,23.221
487,9.807,1.459,18.617
488,9.824,1.618,19.939
489,9.844,2.079,23.739
490,9.86,1.555,19.469
491,9.875,1.524,19.236
492,9.896,2.049,23.587
493,9.92,2.46,27.019
494,9.944,2.421,26.751
495,9.969,2.45,27.039
496,9.987,1.821,21.857
497,10.011,2.424,26.918
498,10.032,2.055,23.88
499,10.051,1.933,22.898
500,10.067,1.588,20.036
501,10.09,2.309,26.114
502,10.104,1.35,18.083
503,10.119,1.574,19.99
504,10.133,1.313,17.808
505,10.152,1.955,23.248
506,10.167,1.496,19.396
507,10.181,1.437,18.917
508,10.207,2.503,27.992
509,10.22,1.345,18.184
510,10.235,1.51,19.61
511,10.257,2.192,25.452
512,10.282,2.487,28.022
513,10.307,2.546,28.585
514,10.323,1.585,20.368
515,10.349,2.544,28.656
516,10.369,2.044,24.394
517,10.392,2.263,26.329
518,10.406,1.422,19.076
519,10.431,2.508,28.529
520,10.444,1.33,18.327
521,10.467,2.255,26.402
522,10.488,2.153,25.561
523,10.514,2.551,29.086
524,10.537,2.32,27.115
525,10.557,1.963,24.024
526,10.574,1.713,21.854
527,10.589,1.493,19.941
528,10.603,1.412,19.242
529,10.623,2.036,24.781
530,10.642,1.921,23.797
531,10.667,2.441,28.455
532,10.681,1.393,19.176
533,10.704,2.303,27.303
534,10.719,1.522,20.375
535,10.736,1.671,21.733
536,10.76,2.411,28.384
537,10.781,2.154,26.131
538,10.807,2.589,30.087
539,10.826,1.912,24.034
540,10.845,1.824,23.274
541,10.86,1.514,20.499
542,10.884,2.42,28.729
543,10.903,1.896,24.021
544,10.916,1.314,18.767
545,10.935,1.859,23.737
546,10.955,2.063,25.632
547,10.98,2.442,29.139
548,11.005,2.535,30.048
549,11.029,2.36,28.494
550,11.046,1.733,22.772
551,11.063,1.716,22.638
552,11.087,2.374,28.743
553,11.106,1.865,24.082
554,11.127,2.185,27.079
555,11.147,1.914,24.606
556,11.16,1.377,19.649
557,11.176,1.561,21.383
558,11.199,2.275,28.055
559,11.215,1.616,21.945
560,11.232,1.722,22.963
561,11.248,1.592,21.771
562,11.271,2.271,28.171
563,11.291,2.06,26.227
564,11.31,1.919,24.935
565,11.336,2.574,31.159
