Time (s),Predicted Fuel
16879.0,2.6646905335669915e-06
16880.0,7.157685426074121e-06
16881.0,1.2303468265222106e-06
16882.0,7.15624608149455e-06
16883.0,3.5952806894452618e-06
16884.0,7.1554469683026045e-06
16885.0,6.5324476006647695e-06
16886.0,4.749674295782612e-06
16887.0,3.8085795458983907e-06
16888.0,1.7917483032340527e-06
16889.0,4.26616639027018e-06
16890.0,4.1282565241059335e-06
16891.0,7.151456990320891e-06
16892.0,-2.0568974074302725e-07
16893.0,7.149704343675636e-06
16894.0,7.149704343675636e-06
16895.0,4.4251595962827785e-06
16896.0,3.9476035097750835e-06
16897.0,5.925928777606201e-06
16898.0,4.941025195720848e-06
16899.0,3.522068128490603e-06
16900.0,4.389061486564545e-06
16901.0,4.169278836659753e-06
16902.0,1.12156529733887e-06
16903.0,7.144139660876447e-06
16904.0,2.1962638426237622e-06
16905.0,7.142870272532626e-06
16906.0,6.493624187834308e-06
16907.0,3.845807772020672e-06
16908.0,5.293767977784915e-06
16909.0,2.5176817730795915e-07
16910.0,7.14001759125691e-06
16911.0,7.14001759125691e-06
16912.0,5.068897948653088e-06
16913.0,-4.937292487453064e-07
16914.0,7.137802127046658e-06
16915.0,7.137802127046658e-06
16916.0,5.654662676854691e-06
16917.0,6.794042827249026e-06
16918.0,4.092473153976283e-06
16919.0,3.129879282313451e-06
16920.0,6.731283185339293e-06
16921.0,3.789204935369644e-06
16922.0,6.762284575031989e-07
16923.0,5.425306590031401e-06
16924.0,6.934749645039208e-06
16925.0,4.327694381377926e-06
16926.0,3.3353631407869546e-06
16927.0,7.131330462611223e-06
16928.0,1.3686095077254204e-06
16929.0,5.360149169902082e-06
16930.0,7.1295983271020885e-06
16931.0,1.3439450245655571e-06
16932.0,7.128339695079624e-06
16933.0,6.040827730927543e-06
16934.0,7.128025182016007e-06
16935.0,5.518071925482796e-06
16936.0,7.127710726889068e-06
16937.0,-1.5060964895095493e-07
16938.0,4.700480497239526e-06
16939.0,7.125511161542331e-06
16940.0,7.125511161542331e-06
16941.0,7.125511161542331e-06
16942.0,6.678132379105954e-06
16943.0,4.776204258272976e-06
16944.0,2.920445860415802e-06
16945.0,-1.6327070307139277e-07
16946.0,7.122060418906306e-06
16947.0,7.034284390054814e-06
16948.0,5.853200133043214e-06
16949.0,5.084976011671072e-06
16950.0,1.1805513307537346e-06
16951.0,7.120024618893691e-06
16952.0,5.410048568957357e-06
16953.0,7.119555163642098e-06
16954.0,4.653402537015067e-08
16955.0,7.117991245092299e-06
16956.0,7.117991245092299e-06
16957.0,3.628693121410611e-06
16958.0,7.1170535816595465e-06
16959.0,2.38719994056138e-06
16960.0,7.115960291992825e-06
16961.0,7.115960291992825e-06
16962.0,4.837921325692005e-06
16963.0,3.7023761592945938e-06
16964.0,7.114711675502682e-06
16965.0,6.317936626029442e-06
16966.0,5.575516091742302e-06
16967.0,4.326846780549669e-06
16968.0,-6.303814911207523e-08
16969.0,7.111749869496627e-06
16970.0,7.111749869496627e-06
16971.0,6.504419249657405e-06
16972.0,2.6229438750884865e-06
16973.0,7.110659973050015e-06
16974.0,3.3178033720169828e-06
16975.0,7.1097263301553775e-06
16976.0,2.9292501126321995e-06
16977.0,6.8692181826980775e-06
16978.0,7.108637725753851e-06
16979.0,3.894396350736566e-06
16980.0,3.6181196330431276e-06
16981.0,7.107083781119463e-06
16982.0,7.107083781119463e-06
16983.0,3.018600291843571e-06
16984.0,7.106152093610265e-06
16985.0,3.815032229116538e-06
